Primary key	Level 1	Level 2	Level 3/Subsystem Name
787	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Glutamine synthetases
788	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis
789	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Glutamine, glutamate, aspartate, asparagine metabolism in plants
803	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis
804	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization
805	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system
822	Amino Acids and Derivatives	Branched-chain amino acids	HMG CoA Synthesis
823	Amino Acids and Derivatives	Branched-chain amino acids	HMG-CoA
829	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis
838	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis
839	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis in plants
840	Amino Acids and Derivatives	Histidine Metabolism	Histidine Degradation
854	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Indole-pyruvate oxidoreductase complex
872	Amino Acids and Derivatives	Branched-chain amino acids	Isoleucine degradation
882	Amino Acids and Derivatives	Branched-chain amino acids	Ketoisovalerate oxidoreductase
883	Amino Acids and Derivatives	Branched-chain amino acids	Khodge314 Isoleucine Biosynthesis
884	Amino Acids and Derivatives	-	L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion
904	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Biosynthesis
905	Amino Acids and Derivatives	Branched-chain amino acids	Leucine Degradation and HMG-CoA Metabolism
925	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine Biosynthesis DAP Pathway
926	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine and threonine metabolism in plants
927	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine biosynthesis AAA pathway 2
928	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine degradation
929	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine fermentation
930	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine fermentation MCB 432
967	Amino Acids and Derivatives	Aromatic amino acids and derivatives	MethanopterinAromatic
969	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine Biosynthesis
970	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine Degradation
971	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine Salvage
972	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine and cysteine metabolism in plants
986	Amino Acids and Derivatives	-	Amino acid racemase
1042	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Anaerobic Oxidative Degradation of L-Ornithine
1139	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine and Tyrosine Branches from Chorismate
1154	Amino Acids and Derivatives	-	Phosphonoalanine utilization
1164	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine Biosynthesis extended
1170	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Poly-gamma-glutamate biosynthesis
1171	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	Poly-gamma-glutamate biosynthesis COPY
1174	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine Deiminase Pathway
1175	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine Metabolism
1185	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine and Ornithine Degradation
1188	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Prenylated indole derivatives in actinomycetes
1190	Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline Synthesis
1191	Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline metabolism in plants
1192	Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline, 4-hydroxyproline uptake and utilization
1206	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine metabolism and urea cycle in plants
1228	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid degradation
1232	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Putrescine utilization pathways
1238	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid interconversions with aryl acids
1019	Arabinose Sensor and transport module	Arabinose	An Arabinose Sensor
251	Carbohydrates	Nucleotide sugars	UDP-D-galacturonate biosynthesis in plants
252	Carbohydrates	Nucleotide sugars	UDP-D-glucuronate, UDP-D-xylose and UDP-D-apiose biosynthesis in plants
253	Carbohydrates	Nucleotide sugars	UDP-L-arabinose biosynthesis in plants
254	Carbohydrates	Nucleotide sugars	UDP-L-rhamnose Biosynthesis in plants
256	Carbohydrates	Nucleotide sugars	UDP-glucose and UDP-galactose biosynthesis in plants
674	Carbohydrates	Aceton metabolism	Acetone carboxylase subunits 2
775	Carbohydrates	Nucleotide sugars	GDP-sugars biosynthesis and interconversions in plants
44	Carbohydrates	CO2 fixation	Rubisco shunt in plants
63	Carbohydrates	One-carbon Metabolism	Serine-glyoxylate cycle
89	Carbohydrates	One-carbon Metabolism	Soluble methane monooxygenase (sMMO)
112	Carbohydrates	Polysaccharides	Starch biosynthesis in plants
113	Carbohydrates	Polysaccharides	Starch degradation in plants
130	Carbohydrates	Di- and oligosaccharides	Sucrose metabolism in plants
131	Carbohydrates	Di- and oligosaccharides	Sucrose utilization
132	Carbohydrates	Di- and oligosaccharides	Sucrose utilization Shewanella
134	Carbohydrates	-	Sugar utilization in Thermotogales
150	Carbohydrates	Central carbohydrate metabolism	TCA Cycle
151	Carbohydrates	Central carbohydrate metabolism	TCA cycle in plants
152	Carbohydrates	Monosaccharides	Tagatose utilization
208	Carbohydrates	Organic acids	2-methylcitrate to 2-methylaconitate metabolism cluster
223	Carbohydrates	Di- and oligosaccharides	Trehalose  metabolism in plants
224	Carbohydrates	Di- and oligosaccharides	Trehalose Biosynthesis
225	Carbohydrates	Di- and oligosaccharides	Trehalose Uptake and Utilization
228	Carbohydrates	Organic acids	Tricarballylate Utilization
265	Carbohydrates	-	Unknown carbohydrate utilization ( cluster Ydj )
266	Carbohydrates	-	Unknown carbohydrate utilization ( cluster Yeg )
267	Carbohydrates	Polysaccharides	Unknown carbohydrate utilization containing Fructose-bisphosphate aldolase
268	Carbohydrates	Di- and oligosaccharides	Unknown oligosaccharide utilization Sde 1396
269	Carbohydrates	-	Unknown sugar utilization (cluster yphABCDEFG)
273	Carbohydrates	Monosaccharides	Unspecified monosaccharide transport cluster
281	Carbohydrates	-	VC0266
299	Carbohydrates	Polysaccharides	Xyloglucan Utilization
301	Carbohydrates	Monosaccharides	Xylose utilization
302	Carbohydrates	Monosaccharides	Xylose utilization in plants
318	Carbohydrates	Central carbohydrate metabolism	acinetobacter tca
319	Carbohydrates	CO2 fixation	alpha carboxysome
321	Carbohydrates	CO2 fixation	beta carboxysome
322	Carbohydrates	-	beta-glucuronide utilization
339	Carbohydrates	One-carbon Metabolism	millsd methanogensis
402	Carbohydrates	Di- and oligosaccharides	Beta-Glucoside Metabolism
405	Carbohydrates	-	Beta-lactamase cluster in Streptococcus
428	Carbohydrates	Fermentation	Butanol Biosynthesis
515	Carbohydrates	CO2 fixation	CO2 uptake, carboxysome
528	Carbohydrates	CO2 fixation	Calvin-Benson cycle
529	Carbohydrates	CO2 fixation	Calvin-Benson-Bassham cycle in plants
542	Carbohydrates	CO2 fixation	Carboxysome
556	Carbohydrates	Polysaccharides	Cellulosome
558	Carbohydrates	Aminosugars	Chitin and N-acetylglucosamine utilization
559	Carbohydrates	Di- and oligosaccharides	Chitobiose
575	Carbohydrates	Organic acids	CitAB
576	Carbohydrates	Organic acids	Citrate Metabolism KE2
580	Carbohydrates	-	Cluster Ytf and putative sugar transporter
606	Carbohydrates	-	Conserved cluster around inner membrane protein gene yghQ, probably involved in polysaccharide biosynthesis
635	Carbohydrates	Monosaccharides	D-Galacturonate and D-Glucuronate Utilization
636	Carbohydrates	Monosaccharides	D-Sorbitol(D-Glucitol) and L-Sorbose Utilization
637	Carbohydrates	Monosaccharides	D-Tagatose and Galactitol Utilization
638	Carbohydrates	Monosaccharides	D-allose utilization
639	Carbohydrates	Monosaccharides	D-galactarate, D-glucarate and D-glycerate catabolism
640	Carbohydrates	Monosaccharides	D-galactarate, D-glucarate and D-glycerate catabolism - gjo
641	Carbohydrates	Fermentation	Acetoin, butanediol metabolism
642	Carbohydrates	Monosaccharides	D-galactonate catabolism
643	Carbohydrates	Monosaccharides	D-gluconate and ketogluconates metabolism
644	Carbohydrates	Aminosugars	D-glucosaminate utilization
645	Carbohydrates	Monosaccharides	D-mannitol and D-mannose degradation in plants
647	Carbohydrates	Monosaccharides	D-ribose utilization
651	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis
662	Carbohydrates	-	Acetone carboxylase
678	Carbohydrates	Central carbohydrate metabolism	Dehydrogenase complexes
681	Carbohydrates	Monosaccharides	Deoxyribose and Deoxynucleoside Catabolism
683	Carbohydrates	Central carbohydrate metabolism	Dihydroxyacetone kinases
697	Carbohydrates	Central carbohydrate metabolism	Acetyl-CoA biosynthesis in plants
717	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate
719	Carbohydrates	Central carbohydrate metabolism	Entner-Doudoroff Pathway
721	Carbohydrates	Sugar alcohols	Erythritol utilization
723	Carbohydrates	Sugar alcohols	Ethanolamine utilization
724	Carbohydrates	Central carbohydrate metabolism	Ethylmalonyl-CoA pathway of C2 assimilation
725	Carbohydrates	Central carbohydrate metabolism	Ethylmalonyl-CoA pathway of C2 assimilation, GJO
748	Carbohydrates	Fermentation	Fermentations: Lactate
749	Carbohydrates	Fermentation	Fermentations: Mixed acid
761	Carbohydrates	One-carbon Metabolism	Folate-mediated one-carbon metabolism in plants
763	Carbohydrates	One-carbon Metabolism	Formaldehyde assimilation: Ribulose monophosphate pathway
769	Carbohydrates	Di- and oligosaccharides	Fructooligosaccharides(FOS) and Raffinose Utilization
771	Carbohydrates	Monosaccharides	Fructose utilization
772	Carbohydrates	Aminosugars	Fructoselysine (Amadori product) utilization pathway
777	Carbohydrates	Monosaccharides	Galactose degradation in plants
799	Carbohydrates	Organic acids	Glycerate metabolism
800	Carbohydrates	Sugar alcohols	Glycerol and Glycerol-3-phosphate Uptake and Utilization
801	Carbohydrates	Sugar alcohols	Glycerol fermentation to 1,3-propanediol
807	Carbohydrates	Polysaccharides	Glycogen metabolism
808	Carbohydrates	Central carbohydrate metabolism	Glycolate, glyoxylate interconversions
809	Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis
810	Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis in plants
811	Carbohydrates	Central carbohydrate metabolism	Glycolysis and Gluconeogenesis, including Archaeal enzymes
812	Carbohydrates	Central carbohydrate metabolism	Glycolysis test
814	Carbohydrates	Central carbohydrate metabolism	Glyoxylate bypass
835	Carbohydrates	Monosaccharides	Hexose Phosphate Uptake System
857	Carbohydrates	Sugar alcohols	Inositol catabolism
871	Carbohydrates	Organic acids	Isobutyryl-CoA to Propionyl-CoA Module
885	Carbohydrates	Monosaccharides	L-Arabinose utilization
887	Carbohydrates	Monosaccharides	L-ascorbate utilization (and related gene clusters)
888	Carbohydrates	Monosaccharides	L-fucose utilization
889	Carbohydrates	Monosaccharides	L-fucose utilization temp
890	Carbohydrates	Monosaccharides	L-rhamnose utilization
895	Carbohydrates	Organic acids	Lactate utilization
896	Carbohydrates	-	Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway
897	Carbohydrates	Di- and oligosaccharides	Lactose and Galactose Uptake and Utilization
898	Carbohydrates	Di- and oligosaccharides	Lactose utilization
939	Carbohydrates	Organic acids	Malonate decarboxylase
940	Carbohydrates	Organic acids	Malonate_
941	Carbohydrates	Di- and oligosaccharides	Maltose and Maltodextrin Utilization
943	Carbohydrates	Polysaccharides	Alpha-Amylase locus in Streptocococcus
944	Carbohydrates	Sugar alcohols	Mannitol Utilization
945	Carbohydrates	Monosaccharides	Mannose Metabolism
950	Carbohydrates	Di- and oligosaccharides	Melibiose Utilization
951	Carbohydrates	Di- and oligosaccharides	Melibiose degradation in plants
954	Carbohydrates	Organic acids	Alpha-acetolactate operon
962	Carbohydrates	One-carbon Metabolism	Methanogenesis
963	Carbohydrates	One-carbon Metabolism	Methanogenesis from methylated compounds
973	Carbohydrates	Organic acids	Methylcitrate cycle
974	Carbohydrates	Central carbohydrate metabolism	Methylglyoxal Metabolism
976	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
1021	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
1040	Carbohydrates	Aminosugars	N-Acetyl-Galactosamine and Galactosamine Utilization
1052	Carbohydrates	Aminosugars	Neotrehalosadiamine (NTD) Biosynthesis Operon
1079	Carbohydrates	One-carbon Metabolism	One-carbon metabolism by tetrahydropterines
1095	Carbohydrates	One-carbon Metabolism	Particulate methane monooxygenase (pMMO)
1097	Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway
1098	Carbohydrates	Central carbohydrate metabolism	Pentose phosphate pathway in plants
1106	Carbohydrates	Central carbohydrate metabolism	Peripheral Glucose Catabolism Pathways
1157	Carbohydrates	CO2 fixation	Photorespiration (oxidative C2 cycle)
1158	Carbohydrates	CO2 fixation	Photorespiration (oxidative C2 cycle) in plants
1184	Carbohydrates	-	Predicted mycobacterial monooxygenase
1186	Carbohydrates	Di- and oligosaccharides	2-O-alpha-mannosyl-D-glycerate utilization
1193	Carbohydrates	Sugar alcohols	Propanediol utilization
1197	Carbohydrates	Organic acids	Propionate-CoA to Succinate Module
1198	Carbohydrates	Organic acids	Propionyl-CoA to Succinyl-CoA Module
1231	Carbohydrates	-	Putative sugar ABC transporter (ytf cluster)
1241	Carbohydrates	Central carbohydrate metabolism	Pyruvate Alanine Serine Interconversions
1242	Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism I: anaplerotic reactions, PEP
1243	Carbohydrates	Central carbohydrate metabolism	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate
1244	Carbohydrates	Central carbohydrate metabolism	Pyruvate:ferredoxin oxidoreductase
235	Cell Division and Cell Cycle	-	Two cell division clusters relating to chromosome partitioning
308	Cell Division and Cell Cycle	-	YgjD and YeaZ
366	Cell Division and Cell Cycle	-	Bacterial Cytoskeleton
610	Cell Division and Cell Cycle	-	Control of cell elongation - division cycle in Bacilli
622	Cell Division and Cell Cycle	-	Cyanobacterial Circadian Clock
682	Cell Division and Cell Cycle	 Bacterial checkpoint control	Diadenylate cyclase cluster
834	Cell Division and Cell Cycle	-	Heterocyst formation in cyanobacteria
861	Cell Division and Cell Cycle	-	Intracellular septation in Enterobacteria
936	Cell Division and Cell Cycle	-	Macromolecular synthesis operon
988	Cell Division and Cell Cycle	-	MukBEF Chromosome Condensation
14	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose containing glycans
64	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Serotype determining Capsular polysaccharide biosynthesis in Staphylococcus
66	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic Acid Metabolism
90	Cell Wall and Capsule	Gram-Positive cell wall components	Sortase
116	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Streptococcal Hyaluronic Acid Capsule
155	Cell Wall and Capsule	Gram-Positive cell wall components	Teichoic and lipoteichoic acids biosynthesis
157	Cell Wall and Capsule	Gram-Positive cell wall components	Teichuronic acid biosynthesis
255	Cell Wall and Capsule	-	UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis
286	Cell Wall and Capsule	Gram-Negative cell wall components	Vibrio Core Oligosaccharide Biosynthesis
287	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Vibrio Polysaccharide (VPS) Biosynthesis
295	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Xanthan Exopolysaccharide Biosynthesis and Export
309	Cell Wall and Capsule	Capsular and extracellular polysacchrides	YjbEFGH Locus Involved in Exopolysaccharide Production
310	Cell Wall and Capsule	-	YjeE
330	Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis
341	Cell Wall and Capsule	Cell wall of Mycobacteria	mycolic acid synthesis
387	Cell Wall and Capsule	-	tRNA-dependent amino acid transfers
398	Cell Wall and Capsule	Gram-Negative cell wall components	Bacteroides capsular polysaccharide transcription antitermination proteins
427	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Brucella Wbk Region and LPS genes
512	Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate Biosynthesis
533	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharide (CPS) of Campylobacter
534	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly
535	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis
536	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular surface virulence antigen loci
596	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic acid biosynthesis
613	Cell Wall and Capsule	Gram-Negative cell wall components	Core Oligosaccharide Glycosylation in Pseudomonas
634	Cell Wall and Capsule	Gram-Positive cell wall components	D-Alanyl Lipoteichoic Acid Biosynthesis
726	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide Biosynthesis
731	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Extracellular Polysaccharide Biosynthesis of Streptococci
855	Cell Wall and Capsule	Gram-Negative cell wall components	Inner membrane protein YhjD and conserved cluster involved in LPS biosynthesis
858	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate metabolism
879	Cell Wall and Capsule	Gram-Negative cell wall components	KDO2-Lipid A biosynthesis
893	Cell Wall and Capsule	Gram-Negative cell wall components	LOS core oligosaccharide biosynthesis
901	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Legionaminic Acid Biosynthesis
907	Cell Wall and Capsule	-	Lipid A biosynthesis in plants
908	Cell Wall and Capsule	Gram-Negative cell wall components	Lipid A modifications
909	Cell Wall and Capsule	Gram-Negative cell wall components	Lipid A-Ara4N pathway ( Polymyxin resistance )
910	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid-linked oligosaccharide synthesis related cluster
914	Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide assembly
916	Cell Wall and Capsule	Gram-Negative cell wall components	Lipopolysaccharide-related cluster in Alphaproteobacteria
918	Cell Wall and Capsule	Gram-Negative cell wall components	Lipoprotein sorting system
938	Cell Wall and Capsule	Gram-Negative cell wall components	Major Outer Membrane Proteins
995	Cell Wall and Capsule	-	Murein Hydrolases
1014	Cell Wall and Capsule	Cell wall of Mycobacteria	Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM)
1035	Cell Wall and Capsule	Cell wall of Mycobacteria	Mycolic acid synthesis 2
1071	Cell Wall and Capsule	Gram-Positive cell wall components	Anthrose Biosynthesis
1074	Cell Wall and Capsule	Capsular and extracellular polysacchrides	O-Methyl Phosphoramidate Capsule Modification in Campylobacter
1085	Cell Wall and Capsule	Gram-Negative cell wall components	Outer membrane
1102	Cell Wall and Capsule	-	Peptidoglycan Biosynthesis
1103	Cell Wall and Capsule	-	Peptidoglycan Crosslinking of Peptide Stems
1104	Cell Wall and Capsule	-	Peptidoglycan biosynthesis--gjo
1111	Cell Wall and Capsule	Gram-Negative cell wall components	Perosamine Synthesis Vibrio
1155	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Phosphorylcholine incorporation in LPS
1176	Cell Wall and Capsule	Gram-Positive cell wall components	Polyglycerolphosphate lipoteichoic acid biosynthesis
1180	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Polysaccharide deacetylases
1213	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Pseudaminic Acid Biosynthesis
1276	Cell Wall and Capsule	-	Raj MurE
1281	Cell Wall and Capsule	-	Recycling of Peptidoglycan Amino Acids
1282	Cell Wall and Capsule	-	Recycling of Peptidoglycan Amino Sugars
623	Central metabolism	TCA	Cyanobacterial bypass in the TCA
709	Central metabolism	-	EC 6.4.1.- Ligases that form carbon-carbon bonds
61	Clustering-based subsystems	Chromosome Replication	SeqA and Co-occurring Genes
137	Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases and sulfatase modifying factor 1
246	Clustering-based subsystems	Type III secretion system, extended	Type III secretion systems, extended
325	Clustering-based subsystems	Cell Division	cell division cluster containing FtsQ
431	Clustering-based subsystems	Pigment biosynthesis	CBSS-176299.3.peg.235
432	Clustering-based subsystems	Probably GTP or GMP signaling related	CBSS-176299.4.peg.1292
433	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation
434	Clustering-based subsystems	contains Thr-tRNA-syn, pyridoxine biosyn, lipid A biosyn, 3 hypos	CBSS-1806.1.peg.1285
435	Clustering-based subsystems	Three hypotheticals linked to lipoprotein biosynthesis	CBSS-188.1.peg.9880
436	Clustering-based subsystems	Shiga toxin cluster	CBSS-194948.1.peg.143
437	Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.1690
438	Clustering-based subsystems	Cytochrome biogenesis	CBSS-196164.1.peg.461
440	Clustering-based subsystems	Recombination related cluster	CBSS-198094.1.peg.4426
442	Clustering-based subsystems	Fage-related, replication	CBSS-205914.5.peg.1403
443	Clustering-based subsystems	Urate degradation	CBSS-205922.3.peg.1809
444	Clustering-based subsystems	Lysine Biosynthesis	A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis
448	Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534
450	Clustering-based subsystems	Nucleotidyl-phosphate metabolic cluster	CBSS-222523.1.peg.1311
451	Clustering-based subsystems	Degradation of Polyphenols (?)	CBSS-232721.5.peg.360
452	Clustering-based subsystems	Translation	CBSS-243265.1.peg.198
453	Clustering-based subsystems	Fatty acid metabolic cluster	CBSS-246196.1.peg.364
454	Clustering-based subsystems	Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	CBSS-257314.1.peg.488
455	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins
456	Clustering-based subsystems	Two related proteases	CBSS-257314.1.peg.676
457	Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339
458	Clustering-based subsystems	recX and regulatory cluster	CBSS-261594.1.peg.788
459	Clustering-based subsystems	Catabolism of an unknown compound	CBSS-262316.1.peg.2929
461	Clustering-based subsystems	Methylamine utilization	CBSS-265072.7.peg.546
462	Clustering-based subsystems	Probably organic hydroperoxide resistance related hypothetical protein	CBSS-269482.1.peg.1294
463	Clustering-based subsystems	Molybdopterin oxidoreductase	CBSS-269799.3.peg.2220
464	Clustering-based subsystems	DNA metabolism	CBSS-269801.1.peg.2186
469	Clustering-based subsystems	Pyruvate kinase associated cluster	CBSS-288000.5.peg.1793
471	Clustering-based subsystems	Probably Pyrimidine biosynthesis-related	CBSS-306254.1.peg.1508
472	Clustering-based subsystems	Putative Isoquinoline 1-oxidoreductase subunit	CBSS-314267.3.peg.390
473	Clustering-based subsystems	Putative asociate of RNA polymerase sigma-54 factor rpoN	CBSS-316057.3.peg.1308
475	Clustering-based subsystems	Probably Ybbk-related hypothetical membrane proteins	CBSS-316057.3.peg.659
478	Clustering-based subsystems	Hypothetical lipase related to Phosphatidate metabolism	CBSS-316407.3.peg.1371
481	Clustering-based subsystems	Carotenoid biosynthesis	CBSS-320388.3.peg.3759
482	Clustering-based subsystems	Flagella protein?	CBSS-323098.3.peg.2823
483	Clustering-based subsystems	Chemotaxis, response regulators	CBSS-323850.3.peg.3142
484	Clustering-based subsystems	Hypothetical in Lysine biosynthetic cluster	CBSS-323850.3.peg.3269
485	Clustering-based subsystems	Putative GGDEF domain protein related to agglutinin secretion	CBSS-323850.3.peg.3284
486	Clustering-based subsystems	Translation	CBSS-326442.4.peg.1852
487	Clustering-based subsystems	DNA polymerase III epsilon cluster	CBSS-342610.3.peg.1536
489	Clustering-based subsystems	D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	CBSS-342610.3.peg.283
490	Clustering-based subsystems	Choline bitartrate degradation, putative	CBSS-344610.3.peg.2335
492	Clustering-based subsystems	TldD cluster	CBSS-354.1.peg.2917
493	Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-376686.6.peg.291
494	Clustering-based subsystems	Protein export?	CBSS-393121.3.peg.2760
495	Clustering-based subsystems	Related to Menaquinone-cytochrome C reductase 	CBSS-393130.3.peg.129
496	Clustering-based subsystems	Cell Division	CBSS-393130.3.peg.794
497	Clustering-based subsystems	Tricarboxylate transporter	CBSS-49338.1.peg.459
